Location,Mayaguez,Hormigueros,Aguadilla,Ponce,Arecibo,Caguas,Sanjuan
Mayaguez,0,9.5,28,0,0,0,0
Hormigueros,9.5,0,0,65.8,0,0,0
Aguadilla,28,36.1,0,0,63.1,0,0
Ponce,0,0,0,0,0,91.6,0
Arecibo,0,0,63.1,0,0,0,94.8
Caguas,0,0,0,91.6,0,0,31.2
Sanjuan,0,0,0,0,94.8,31.2,0
